19:01:05.417773 config: drop-rate=0.00, max-delay=0s, seed=1544054465416748200
19:01:05.429804 router is listening at :3000
19:04:04.831668 [queue=0] packet #1, 127.0.0.1:62472 -> 127.0.0.1:1234, sz=2 is delivered
19:04:04.838647 [queue=0] packet #1, 127.0.0.1:1234 -> 127.0.0.1:62472, sz=2 is delivered
19:04:05.090123 [queue=0] packet #2, 127.0.0.1:62473 -> 127.0.0.1:1234, sz=38 is delivered
19:04:05.117216 [queue=0] packet #2, 127.0.0.1:1234 -> 127.0.0.1:62473, sz=375 is delivered
19:04:05.117541 [queue=0] packet #3, 127.0.0.1:62473 -> 127.0.0.1:1234, sz=8 is delivered
19:04:05.117541 [queue=0] packet #3, 127.0.0.1:1234 -> 127.0.0.1:62473, sz=5 is delivered
19:04:05.118539 [queue=0] packet #4, 127.0.0.1:62473 -> 127.0.0.1:1234, sz=2 is delivered
19:10:39.380004 config: drop-rate=0.00, max-delay=4s, seed=1544055039380004300
19:10:39.381052 router is listening at :3000
19:11:12.128816 [queue=1] packet #1, 127.0.0.1:53716 -> 127.0.0.1:1234, sz=2 is delayed for 520ms
19:11:12.650114 [queue=0] packet #1, 127.0.0.1:53716 -> 127.0.0.1:1234, sz=2 is delivered
19:11:12.660186 [queue=1] packet #1, 127.0.0.1:1234 -> 127.0.0.1:53716, sz=2 is delayed for 2.36s
19:11:15.020583 [queue=0] packet #1, 127.0.0.1:1234 -> 127.0.0.1:53716, sz=2 is delivered
19:11:15.023358 [queue=1] packet #2, 127.0.0.1:53717 -> 127.0.0.1:1234, sz=38 is delayed for 1.96s
19:11:16.984282 [queue=0] packet #2, 127.0.0.1:53717 -> 127.0.0.1:1234, sz=38 is delivered
19:11:17.004983 [queue=1] packet #2, 127.0.0.1:1234 -> 127.0.0.1:53717, sz=375 is delayed for 2.6s
19:11:18.024863 [queue=2] packet #2, 127.0.0.1:53717 -> 127.0.0.1:1234, sz=38 is delayed for 560ms
19:11:18.585554 [queue=1] packet #2, 127.0.0.1:53717 -> 127.0.0.1:1234, sz=38 is delivered
19:11:18.589372 [queue=2] packet #2, 127.0.0.1:1234 -> 127.0.0.1:53717, sz=375 is delayed for 1.88s
19:11:19.605966 [queue=1] packet #2, 127.0.0.1:1234 -> 127.0.0.1:53717, sz=375 is delivered
19:11:19.607386 [queue=2] packet #3, 127.0.0.1:53717 -> 127.0.0.1:1234, sz=8 is delayed for 3.56s
19:11:20.470596 [queue=1] packet #2, 127.0.0.1:1234 -> 127.0.0.1:53717, sz=375 is delivered
19:11:20.471603 [queue=2] packet #4, 127.0.0.1:53717 -> 127.0.0.1:1234, sz=2 is delayed for 3.96s
